id,title,type,genre,tags,description,link,releaseDate,thumbnail,trailer,price,averageRating,totalRatings
dd405e98-4ef5-4684-b1e1-de7b865c8957,Stranded Space,Survival Spawn World,Roleplaying Game,Space; Hardcore; Sky; Spaceship; Galaxy; Space Sim; Resource Management; Cool,Stranded in Space! Survive in the extreme environment and thrive with minimal resources whilst on 0 gravity!$$$$+ Includes astronaut skins!$$+ Oxygen & gravity mechanics!$$+ Jetpacks!$$+ Huge space-station to explore!,https://www.minecraft.net/en-us/pdp/?id=dd405e98-4ef5-4684-b1e1-de7b865c8957,2023-08-01T17:00:00Z,https://xforgeassets001.xboxlive.com/pf-namespace-b63a0803d3653643/cedfdfe3-8aa3-4aad-9496-5d2d27c9047e/StrnddSpc_thumbnail_0.jpg,,660,4.1,23
dd90369d-3591-429b-9c10-cadfca17b778,Upside Down Heads,Skinpack,Roleplay,Roleplay; Funny; Colorful; Cool; Cute; Meme; Skin; Stylized,Free yourself from the constraints of anatomy and look to the sky from a brand new perspective! Set a confusing fashion statement with the Upside Down Heads skin pack!,https://www.minecraft.net/en-us/pdp/?id=dd90369d-3591-429b-9c10-cadfca17b778,2020-12-15T18:00:00+00:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/f497abfc-ff8f-4567-ac8f-16c3c83111d3/UpsideDownHeads_thumbnail_0.jpg,,160,4,8
dee70871-a7e0-4de3-966f-bc80b665939c,Mobs with Blocks,Skinpack,Roleplay,Arcade; Classic; Heist; Formal; Nether; Skin; Zombie; Block,"These lucky mobs in suits have gotten hold of valuable blocks! They may be small, but they can carry a lot!$$$$Skinset has 8 small mobs including:$$$$- Creeper$$- Enderman$$- Ghast$$- Piglin$$- Skeleton$$- Slime$$- Spider$$- Zombie",https://www.minecraft.net/en-us/pdp/?id=dee70871-a7e0-4de3-966f-bc80b665939c,2021-02-02T18:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-20ca2/3b557d45-6d66-4664-9908-ce8b6a101ea8/MobsWithBlocks_Thumbnail_0.jpg,,160,4.5,68
df03ac93-6779-4842-a61d-86553ba39638,Ultimate Hacker Base,Survival Spawn World,Survival,Science Fiction; Ultimate; Underground; Tech; Hackers; Hacking; Modern; Armor,"Become the ultimate hacker and live in this ultimate impenetrable base! Use hacker gear and become invincible in the game, take it easy and enjoy yourself cause nothing will so much as scratch you!$$$$+ Elaborate hacker complex.$$+ Overpowered weapons!$$+ Overpowered armor!$$+ Tool hacks!",https://www.minecraft.net/en-us/pdp/?id=df03ac93-6779-4842-a61d-86553ba39638,2023-06-20T17:00:00Z,https://xforgeassets001.xboxlive.com/pf-namespace-b63a0803d3653643/d6054a68-4b48-4e1a-96ee-d91f720c58b6/UltmtHckrBs_thumbnail_0.jpg,,490,4.7,160
df8cece3-6659-42ed-99cd-e936ada829ae,Masked,Skinpack,Roleplay,Arcade; Colorful; Costume; Skin; Robot; Role Playing,Don't show your face! Wear a mask and travel anonymously yet confidently!$$Show off your style in the brand new fashion trend: masks!$$$$+8 Unique skins!$$+1 FREE skin!$$+Includes a lot of unique masks!,https://www.minecraft.net/en-us/pdp/?id=df8cece3-6659-42ed-99cd-e936ada829ae,2021-03-23T17:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-20ca2/10fdff52-d43e-416d-a67f-d9df2d13bbd2/masked_thumbnail_0.jpg,,490,4.2,22
dfa5883f-1563-40b9-811c-4f911322047a,Goats,Skinpack,Roleplay,Skin; Funny; Free; Animal; Mountain; Cute,Do you like goats? You're in for a real treat! Put on your best goat outfit and show your friends who the real G.O.A.T is!$$+ 10 goat skins$$+ 1 free skin,https://www.minecraft.net/en-us/pdp/?id=dfa5883f-1563-40b9-811c-4f911322047a,2021-06-08T17:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-20ca2/9b019ee8-aeb6-4912-a710-1e46b7b07d6e/Goats_thumbnail_0.jpg,,490,4.3,6
e0315b7b-e97b-4867-a0a0-de7fac8a9597,Lava Kings,Skinpack,Roleplaying Game,Lava; Kingdom; Demon; Creatures,Choose your favorite lava devil and fight with your pals for dominance of the underworld! Take control of the underworld and release your inner devil!$$$$+ 10 lava-themed skins. $$+ Great for roleplay!,https://www.minecraft.net/en-us/pdp/?id=e0315b7b-e97b-4867-a0a0-de7fac8a9597,2023-06-13T17:00:00Z,https://xforgeassets002.xboxlive.com/pf-namespace-b63a0803d3653643/b38a3bf3-51ef-478c-9778-676172a93210/Lava_Kings_thumbnail_0.jpg,,310,4.1,8
e035b98b-e04d-4a9a-a6e4-c7588bed710e,Tulipvale,Survival Spawn World,,,Jump back in time and immerse yourself in the beauty that is Tulipvale! Stop and smell the rows of flowers on your way through a charming medieval village where you begin your journey!$$$$- Multiplayer/coop survival map$$- Charming village$$- Custom texture pack$$- By Razzleberries,https://www.minecraft.net/en-us/pdp/?id=e035b98b-e04d-4a9a-a6e4-c7588bed710e,2018-09-04T17:00:00+00:00,https://xforgeassets002.xboxlive.com/serviceid-18231953-4b1d-472c-a39e-48b10105b7b7-public/70999fa4-5d5b-4fc9-b42c-a21d244e531d/Tulipvale_thumbnail_0.jpg,,490,4.3,35
e03ee9a3-34ef-480a-8687-890d55bfb6bb,TNT Run,Mini Game World,Parkour,Action; Adventure; Multiplayer; Exploration; Epic; Colorful; Zombie; Cool,"Try to stay alive for as long as possible before the TNT blows up underneath you! $$Grab your friends to see who is the champion of multiplayer! Or try to survive the 'Zombie' mode alone, avoiding waves of zombies falling from the sky! $$$$+ Single player, multiplayer and zombie modes! $$+ Randomized levels each time you play! $$+ Custom soundtrack!$$+ High score counter!",https://www.minecraft.net/en-us/pdp/?id=e03ee9a3-34ef-480a-8687-890d55bfb6bb,2020-09-29T10:00:00-07:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-20ca2/498095a2-27a6-439b-ab72-995e480b3a5f/tntrun_thumbnail_0.jpg,,660,4.5,16
e0463fb8-4ce8-42b5-bb84-de59fb994b6b,Gods!,Skinpack,Fantasy,Colorful; Costume; Dark; Light; Mythical; Skin; Supernatural; Tiara,"A skinpack fit for the gods! Free Ice God skin included! Grab these skins and reach your ultimate power!$$$$+ Male and female skins included!$$+ 10 unique skins!$$+ Light, dark, flame, ice and nature forms!",https://www.minecraft.net/en-us/pdp/?id=e0463fb8-4ce8-42b5-bb84-de59fb994b6b,2019-12-10T18:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-ee7b/6ffa0d44-8850-473e-975c-aec6cb53f73a/gods_thumbnail_0.jpg,,310,4.4,823
e078ad0e-9977-4a67-99d9-0e03d4fb8708,Pros! HD,Skinpack,Roleplay,Action; Colorful; Epic; Battle; Stylized; Anime; High Contrast; Cool,"Pick up this pros pack now in HD! Roleplay as unique and seriously cool pros!$$Team up or battle with your friends with exciting pros action!$$$$+ 12 HD Skins$$+ 1 free HD skin$$+ Includes camo, kitsune and fire and ice pros!",https://www.minecraft.net/en-us/pdp/?id=e078ad0e-9977-4a67-99d9-0e03d4fb8708,2020-02-18T18:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-ee7b/94f7894d-a908-4802-ad2e-f9059cee2b9d/proshd_thumbnail_0.jpg,,490,4.7,541
e0901053-4424-448e-952f-a51be32a6378,Mob Ghosts!,Skinpack,Roleplay,Action; Cool; Ghost; Haunted; Scary; Spooky; Stylized; Halloween,"Mob Ghosts have been sighted haunting the world of Minecraft!$$Become a scary specter and spook your friends and enemies!$$$$+ 10 Mob Ghost skins!$$+ 2 free skins!$$+ Includes ghost creeper, skeleton, and witch skins!",https://www.minecraft.net/en-us/pdp/?id=e0901053-4424-448e-952f-a51be32a6378,2021-06-01T17:00:00+00:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-20ca2/38d5af9e-3eff-4683-9379-dfe46b47242a/mobghosts_thumbnail_0.jpg,,310,4.6,65
e141555a-85d9-43a7-9d4a-dea6da71c0dc,Roots of Evil,Survival Spawn World,,,"Long ago, demonic seeds sprouted, growing a parasitic monster tree. The world has become an infected wasteland. What can you do to survive?$$-Use your skills to restore, contain or adapt to the corruption$$-Fight monsters and gather resources to survive$$-Kickstart your adventure with loot chests$$-Accelerate your progress by bringing friends",https://www.minecraft.net/en-us/pdp/?id=e141555a-85d9-43a7-9d4a-dea6da71c0dc,2018-10-02T17:00:00+00:00,https://xforgeassets001.xboxlive.com/serviceid-18231953-4b1d-472c-a39e-48b10105b7b7-public/930c34ff-a090-4ec5-980d-26c2ad7c920d/RootsOfEvil_thumbnail_0.jpg,,490,3,54
e195f262-265e-4e35-9783-e7d2f24db29a,Ice Cliff Arctic House,Survival Spawn World,Survival,Arctic; Hidden; Modern; Frozen; Underground; Bunker; Secret; Roleplay,Make yourselves at home in this gorgeous ice cliff house! Befriend the arctic environment and live peacefully alone or with your friends! Get yourselves a cozy home after your majestic adventure!$$$$- Fully furnished house!$$- Live alone or with friends!$$- Explore this huge house!,https://www.minecraft.net/en-us/pdp/?id=e195f262-265e-4e35-9783-e7d2f24db29a,2021-02-09T18:00:00+00:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/bd9ea1f2-b14b-4129-8429-cf8ce8d30d83/ICAH_thumbnail_0.jpg,,660,3.8,16
e1c157e4-0a22-4ac0-8094-39fdaa0c6038,Prison Base,Survival Spawn World,Survival,Farm; Base; Secret Base; Prison; Adventures; Epic; Exploration; Fun,"Welcome to Prison Base, the ultimate destination for prisoners who want to explore a secret underground world filled with adventure, amazing tools, and excitement! $$$$+ Prison building$$+ Underground base",https://www.minecraft.net/en-us/pdp/?id=e1c157e4-0a22-4ac0-8094-39fdaa0c6038,2023-05-16T17:00:00Z,https://xforgeassets002.xboxlive.com/pf-namespace-b63a0803d3653643/a700db47-3e19-4369-8607-ff7a6b48ad20/prisonbase_thumbnail_0.jpg,https://www.youtube.com/watch?v=SnP7VbMzwfs,660,3.8,20
e1fab5ab-9d38-4fc9-8f9b-7e339f02cbbd,Bedwars Fighters,Skinpack,Roleplay,Action; Skin; Role Playing; Human; Bed Wars; Armor; Costume; Multiplayer,"Incarnate yourself as a bedfighter on floating islands. There's something for everyone! The bed war rages on, be the best by trying the Bedwars Fighters skin pack!$$+ 18 skins",https://www.minecraft.net/en-us/pdp/?id=e1fab5ab-9d38-4fc9-8f9b-7e339f02cbbd,2020-08-18T10:00:00-07:00,https://xforgeassets001.xboxlive.com/pf-title-b63a0803d3653643-20ca2/81bea247-b8b5-4d03-9d3b-4b3cd214d909/BedwarsFighters_Thumbnail_0.jpg,,490,4.4,131
e1fc12ea-c119-424e-9272-74f7e82d4916,Simple Spawns: Jungle Valley,Survival Spawn World,Survival,Custom Terrain; Epic; Mining; Multiplayer; Pve; Realistic; Single Player; Survival,Simple Spawns is back with another daring adventure! Slash your way through the dense jungle and discover a hidden valley village!$$$$- Explore the temple and ruins for loot!$$- Cut into the jungle and expand the village!$$- Multiplayer-friendly Minecraft Survival Spawn!,https://www.minecraft.net/en-us/pdp/?id=e1fc12ea-c119-424e-9272-74f7e82d4916,2019-12-24T18:00:00+00:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-ee7b/85a9baf9-6b89-4f4f-be98-3b08d2568c34/SimpleSpawnsJungleValley_thumbnail_0.jpg,,160,4.3,111
e2496889-c44c-4371-b421-e5bfe24a4a3c,Element Ninjas,Skinpack,Roleplay,Ninja; Ninjas; Anime; Teen; Skin; Assassin; Japan; Cool,"The elemental ninjas are at war! Pick from one of the 4 clans and represent your inner element! Watch out, things could get dangerous!$$$$- 8 different skins!$$- Elemental clan choices are fire, water, earth, and nature!$$$$Which element will you choose?",https://www.minecraft.net/en-us/pdp/?id=e2496889-c44c-4371-b421-e5bfe24a4a3c,2021-03-02T18:00:00+00:00,https://xforgeassets002.xboxlive.com/pf-title-b63a0803d3653643-20ca2/e6040b8a-9a73-481b-b99c-71c3d70af229/ElementNinjas_Thumbnail_0.jpg,,160,4.3,29
